ID,Username,Action,"Date Time"
1001,matt,"Logged in","2022-01-25 10:48:08"
1008,test,"Logged out","2022-01-25 10:47:57"
1008,test,"Logged in","2022-01-25 10:47:52"
1005,joshua,"Logged out","2022-01-25 10:47:27"
1005,joshua,"Logged in","2022-01-25 10:44:23"
1001,matt,"Logged out","2022-01-25 10:23:32"
1001,matt,"Logged in","2022-01-25 08:17:04"
1007,asd,"Logged out","2022-01-24 22:22:28"
1007,asd,"Logged in","2022-01-24 22:19:56"
1001,matt,"Logged out","2022-01-24 22:19:51"
1001,matt,"Logged in","2022-01-24 19:16:14"
1005,joshua,"Logged out","2022-01-24 18:30:53"
1005,joshua,"Logged in","2022-01-24 18:30:41"
1001,matt,"Logged out","2022-01-24 18:30:27"
1001,matt,"Logged in","2022-01-24 18:09:30"
1001,matt,"Logged out","2022-01-24 18:06:09"
1001,matt,"Logged in","2022-01-24 17:49:23"
1005,joshua,"Logged out","2022-01-24 17:49:18"
1005,joshua,"Logged in","2022-01-24 17:46:36"
1001,matt,"Logged out","2022-01-24 17:46:30"
1001,matt,"Logged in","2022-01-24 17:27:07"
1005,joshua,"Logged out","2022-01-24 01:04:03"
1005,joshua,"Logged in","2022-01-24 00:33:31"
1001,matt,"Logged out","2022-01-24 00:33:25"
1001,matt,"Logged in","2022-01-24 00:33:14"
1001,matt,"Logged out","2022-01-24 00:32:53"
1001,matt,"Logged in","2022-01-24 00:27:57"
1005,joshua,"Logged out","2022-01-24 00:27:47"
1005,joshua,"Logged in","2022-01-24 00:18:08"
1001,matt,"Logged out","2022-01-24 00:17:55"
1001,matt,"Logged in","2022-01-24 00:10:58"
1005,joshua,"Logged out","2022-01-24 00:10:52"
1005,joshua,"Logged in","2022-01-23 20:21:43"
1005,joshua,"Logged out","2022-01-23 20:21:33"
1005,joshua,"Logged in","2022-01-23 20:14:00"
1001,matt,"Logged out","2022-01-23 20:13:52"
1001,matt,"Logged in","2022-01-23 19:21:45"
1005,joshua,"Logged out","2022-01-23 19:21:40"
1005,joshua,"Logged in","2022-01-23 19:16:26"
1001,matt,"Logged out","2022-01-23 19:16:17"
1001,matt,"Logged in","2022-01-23 19:14:38"
1005,joshua,"Logged out","2022-01-23 19:14:33"
1005,joshua,"Logged in","2022-01-23 17:47:25"
1001,matt,"Logged out","2022-01-23 17:47:15"
1001,matt,"Logged in","2022-01-23 17:44:48"
1005,joshua,"Logged out","2022-01-23 17:44:33"
1005,joshua,"Logged in","2022-01-23 17:43:55"
1000,joshua,"Logged out","2022-01-23 17:43:46"
1005,joshua,"Logged out","2022-01-23 16:36:28"
1005,joshua,"Logged in","2022-01-23 16:08:38"
1001,matt,"Logged out","2022-01-23 16:08:32"
1001,matt,"Logged in","2022-01-23 16:03:56"
1005,joshua,"Logged out","2022-01-23 16:03:18"
1005,joshua,"Logged in","2022-01-23 14:13:59"
1005,joshua,"Logged in","2022-01-23 11:06:04"
1005,joshua,"Logged out","2022-01-23 11:05:56"
1005,joshua,"Logged in","2022-01-23 10:51:07"
1001,matt,"Logged out","2022-01-23 10:50:44"
1001,matt,"Logged in","2022-01-23 10:46:39"
1005,joshua,"Logged out","2022-01-23 10:46:30"
1005,joshua,"Logged in","2022-01-23 10:46:24"
1001,matt,"Logged in","2022-01-23 10:35:46"
1002,phersival,"Logged out","2022-01-23 10:35:20"
1002,phersival,"Logged in","2022-01-23 10:35:16"
1004,joshua,"Logged out","2022-01-23 10:19:10"
1004,joshua,"Logged in","2022-01-23 10:18:32"
1003,Xiaoting,"Logged in","2022-01-23 06:50:56"
1001,matt,"Logged out","2022-01-23 06:50:49"
1001,matt,"Logged in","2022-01-23 06:50:37"
1003,Xiaoting,"Logged out","2022-01-23 06:49:29"
1003,Xiaoting,"Logged in","2022-01-23 06:49:15"
1003,Xiaoting,"Logged out","2022-01-23 06:48:58"
1003,user,"Logged in","2022-01-23 06:25:39"
1003,user,"Logged out","2022-01-23 06:25:33"
1003,user,"Logged in","2022-01-23 06:23:08"
1003,user,"Logged out","2022-01-23 06:23:03"
1003,user,"Logged in","2022-01-23 06:17:14"
1003,user,"Logged out","2022-01-23 06:17:08"
1003,user,"Logged in","2022-01-23 06:14:15"
1000,joshua,"Logged out","2022-01-23 06:12:34"
1000,joshua,"Logged in","2022-01-23 06:12:27"
1000,joshua,"Logged in","2022-01-22 18:08:25"
1001,matt,"Logged out","2022-01-22 18:08:20"
1001,matt,"Logged in","2022-01-22 15:17:49"
1000,joshua,"Logged out","2022-01-22 15:17:43"
1000,joshua,"Logged in","2022-01-22 15:06:31"
1001,matt,"Logged out","2022-01-22 15:06:24"
1001,matt,"Logged in","2022-01-22 14:46:22"
1000,joshua,"Logged out","2022-01-21 22:09:44"
1000,joshua,"Logged in","2022-01-21 20:42:36"
1001,matt,"Logged out","2022-01-21 20:42:28"
1001,matt,"Logged in","2022-01-21 20:36:39"
1001,gnahhr,"Logged out","2022-01-21 20:36:34"
1001,matt,"Logged in","2022-01-21 19:47:19"
1001,matt,"Logged out","2022-01-21 19:47:10"
1001,matt,"Logged in","2022-01-21 19:45:48"
1001,matt,"Logged out","2022-01-21 19:45:44"
1001,matt,"Logged in","2022-01-21 19:11:10"
1000,joshua,"Logged out","2022-01-21 19:11:05"
1000,joshua,"Logged in","2022-01-21 17:51:36"
1001,matt,"Logged out","2022-01-21 17:51:27"
1001,matt,"Logged in","2022-01-21 17:27:57"
1001,matt,"Logged in","2022-01-21 17:11:24"
1000,joshua,"Logged in","2022-01-21 16:50:00"
1001,matt,"Logged in","2022-01-21 09:18:38"
1001,matt,"Logged in","2022-01-21 09:16:19"
1001,matt,"Logged in","2022-01-21 09:02:12"
1001,matt,"Logged in","2022-01-20 14:13:42"
1001,matt,"Logged in","2022-01-19 05:18:27"
1001,matt,"Logged in","2022-01-19 05:08:34"
1001,matt,"Logged in","2022-01-19 05:08:02"
1001,matt,"Logged in","2022-01-19 04:28:48"
1001,matt,"Logged in","2022-01-18 21:46:44"
1001,matt,"Logged in","2022-01-18 21:41:42"
1001,matt,"Logged in","2022-01-18 21:05:22"
1001,matt,"Logged in","2022-01-18 21:03:21"
1001,matt,"Logged in","2022-01-18 21:02:35"
1001,matt,"Logged in","2022-01-18 21:00:58"
1001,matt,"Logged in","2022-01-18 21:00:36"
1001,matt,"Logged in","2022-01-18 21:00:10"
1001,matt,"Logged in","2022-01-18 20:53:18"
1001,matt,"Logged in","2022-01-18 20:52:03"
1001,matt,"Logged in","2022-01-18 20:51:17"
1001,matt,"Logged in","2022-01-18 20:50:46"
1001,matt,"Logged in","2022-01-18 20:46:49"
1001,matt,"Logged in","2022-01-18 20:42:18"
1001,matt,"Logged in","2022-01-18 20:40:55"
1001,matt,"Logged in","2022-01-18 20:40:24"
1001,matt,"Logged in","2022-01-18 20:38:48"
1001,matt,"Logged in","2022-01-18 20:38:07"
1001,matt,"Logged in","2022-01-18 20:36:27"
1001,matt,"Logged in","2022-01-18 20:36:06"
1001,matt,"Logged in","2022-01-18 20:34:57"
1001,matt,"Logged in","2022-01-18 20:32:53"
1001,matt,"Logged in","2022-01-18 20:27:15"
1001,matt,"Logged in","2022-01-18 20:26:44"
1001,matt,"Logged in","2022-01-18 20:26:08"
1001,matt,"Logged in","2022-01-18 20:24:55"
1001,matt,"Logged in","2022-01-18 20:24:30"
1001,matt,"Logged in","2022-01-18 20:07:08"
1001,matt,"Logged in","2022-01-18 20:00:00"
1001,matt,"Logged in","2022-01-18 19:56:42"
1001,matt,"Logged in","2022-01-18 19:56:02"
1001,matt,"Logged in","2022-01-18 19:54:44"
1001,matt,"Logged in","2022-01-18 19:52:56"
1001,matt,"Logged in","2022-01-18 19:49:33"
1001,matt,"Logged in","2022-01-18 19:48:57"
1001,matt,"Logged in","2022-01-18 19:47:37"
1001,matt,"Logged in","2022-01-18 19:42:14"
1001,matt,"Logged in","2022-01-18 19:40:56"
1001,matt,"Logged in","2022-01-18 19:36:38"
1000,joshua,"Logged in","2022-01-18 19:36:30"
1000,joshua,"Logged in","2022-01-18 19:28:29"
1000,joshua,"Logged in","2022-01-18 19:26:18"
1001,matt,"Logged in","2022-01-18 19:25:47"
1001,matt,"Logged in","2022-01-18 19:24:44"
1001,matt,"Logged in","2022-01-18 19:24:04"
1001,matt,"Logged in","2022-01-18 19:23:53"
1001,matt,"Logged in","2022-01-18 19:23:41"
1001,matt,,"2022-01-16 12:52:08"
